Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,2016-05-09,12022.00,7.72,7.72,0.00,3.45,0.53,3.74,0.00,46.00,11.00,206.00,835.00,1819.00
1503960366,2016-05-10,12207.00,7.77,7.77,0.00,3.35,1.16,3.26,0.00,46.00,31.00,214.00,746.00,1859.00
1503960366,2016-05-11,12770.00,8.13,8.13,0.00,2.56,1.01,4.55,0.00,36.00,23.00,251.00,669.00,1783.00
1503960366,2016-05-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,0.00
1624580081,2016-04-12,8163.00,5.31,5.31,0.00,0.00,0.00,5.31,0.00,0.00,0.00,146.00,1294.00,1432.00
1624580081,2016-04-13,7007.00,4.55,4.55,0.00,0.00,0.00,4.55,0.00,0.00,0.00,148.00,1292.00,1411.00
1624580081,2016-04-14,9107.00,5.92,5.92,0.00,0.00,0.00,5.91,0.01,0.00,0.00,236.00,1204.00,1572.00
1624580081,2016-04-15,1510.00,0.98,0.98,0.00,0.00,0.00,0.97,0.00,0.00,0.00,96.00,1344.00,1344.00
1624580081,2016-04-16,5370.00,3.49,3.49,0.00,0.00,0.00,3.49,0.00,0.00,0.00,176.00,1264.00,1463.00
1624580081,2016-04-17,6175.00,4.06,4.06,0.00,1.03,1.52,1.49,0.01,15.00,22.00,127.00,1276.00,1554.00
1624580081,2016-04-18,10536.00,7.41,7.41,0.00,2.15,0.62,4.62,0.01,17.00,7.00,202.00,1214.00,1604.00
1624580081,2016-04-19,2916.00,1.90,1.90,0.00,0.00,0.00,1.90,0.00,0.00,0.00,141.00,1299.00,1435.00
1624580081,2016-04-20,4974.00,3.23,3.23,0.00,0.00,0.00,3.23,0.00,0.00,0.00,151.00,1289.00,1446.00
1624580081,2016-04-21,6349.00,4.13,4.13,0.00,0.00,0.00,4.11,0.02,0.00,0.00,186.00,1254.00,1467.00
1624580081,2016-04-22,4026.00,2.62,2.62,0.00,0.00,0.00,2.60,0.00,0.00,0.00,199.00,1241.00,1470.00
1624580081,2016-04-23,8538.00,5.55,5.55,0.00,0.00,0.00,5.54,0.01,0.00,0.00,227.00,1213.00,1562.00
1624580081,2016-04-24,6076.00,3.95,3.95,0.00,1.15,0.91,1.89,0.00,16.00,18.00,185.00,1221.00,1617.00
1624580081,2016-04-25,6497.00,4.22,4.22,0.00,0.00,0.00,4.20,0.02,0.00,0.00,202.00,1238.00,1492.00
1624580081,2016-04-26,2826.00,1.84,1.84,0.00,0.00,0.00,1.83,0.01,0.00,0.00,140.00,1300.00,1402.00
1624580081,2016-04-27,8367.00,5.44,5.44,0.00,1.11,1.87,2.46,0.00,17.00,36.00,154.00,1233.00,1670.00
1624580081,2016-04-28,2759.00,1.79,1.79,0.00,0.00,0.20,1.60,0.00,0.00,5.00,115.00,1320.00,1401.00
1624580081,2016-04-29,2390.00,1.55,1.55,0.00,0.00,0.00,1.55,0.00,0.00,0.00,150.00,1290.00,1404.00
1624580081,2016-04-30,6474.00,4.30,4.30,0.00,0.90,1.28,2.12,0.01,11.00,23.00,224.00,1182.00,1655.00
1624580081,2016-05-01,36019.00,28.03,28.03,0.00,21.92,4.19,1.91,0.02,186.00,63.00,171.00,1020.00,2690.00
1624580081,2016-05-02,7155.00,4.93,4.93,0.00,0.86,0.59,3.47,0.00,7.00,6.00,166.00,1261.00,1497.00
1624580081,2016-05-03,2100.00,1.37,1.37,0.00,0.00,0.00,1.34,0.02,0.00,0.00,96.00,1344.00,1334.00
1624580081,2016-05-04,2193.00,1.43,1.43,0.00,0.00,0.00,1.42,0.00,0.00,0.00,118.00,1322.00,1368.00
1624580081,2016-05-05,2470.00,1.61,1.61,0.00,0.00,0.00,1.58,0.02,0.00,0.00,117.00,1323.00,1370.00
1624580081,2016-05-06,1727.00,1.12,1.12,0.00,0.00,0.00,1.12,0.01,0.00,0.00,102.00,1338.00,1341.00
1624580081,2016-05-07,2104.00,1.37,1.37,0.00,0.00,0.00,1.37,0.00,0.00,0.00,182.00,1258.00,1474.00
1624580081,2016-05-08,3427.00,2.23,2.23,0.00,0.00,0.00,2.22,0.00,0.00,0.00,152.00,1288.00,1427.00
1624580081,2016-05-09,1732.00,1.13,1.13,0.00,0.00,0.00,1.13,0.00,0.00,0.00,91.00,1349.00,1328.00
1624580081,2016-05-10,2969.00,1.93,1.93,0.00,0.00,0.00,1.92,0.01,0.00,0.00,139.00,1301.00,1393.00
1624580081,2016-05-11,3134.00,2.04,2.04,0.00,0.00,0.00,2.04,0.00,0.00,0.00,112.00,1328.00,1359.00
1624580081,2016-05-12,2971.00,1.93,1.93,0.00,0.00,0.00,1.92,0.01,0.00,0.00,107.00,890.00,1002.00
1644430081,2016-04-12,10694.00,7.77,7.77,0.00,0.14,2.30,5.33,0.00,2.00,51.00,256.00,1131.00,3199.00
1644430081,2016-04-13,8001.00,5.82,5.82,0.00,2.28,0.90,2.64,0.00,30.00,16.00,135.00,1259.00,2902.00
1644430081,2016-04-14,11037.00,8.02,8.02,0.00,0.36,2.56,5.10,0.00,5.00,58.00,252.00,1125.00,3226.00
1644430081,2016-04-15,5263.00,3.83,3.83,0.00,0.22,0.15,3.45,0.00,3.00,4.00,170.00,1263.00,2750.00
1644430081,2016-04-16,15300.00,11.12,11.12,0.00,4.10,1.88,5.09,0.00,51.00,42.00,212.00,1135.00,3493.00
1644430081,2016-04-17,8757.00,6.37,6.37,0.00,2.25,0.57,3.55,0.00,29.00,13.00,186.00,1212.00,3011.00
1644430081,2016-04-18,7132.00,5.19,5.19,0.00,1.07,1.67,2.45,0.00,15.00,33.00,121.00,1271.00,2806.00
1644430081,2016-04-19,11256.00,8.18,8.18,0.00,0.36,2.53,5.30,0.00,5.00,58.00,278.00,1099.00,3300.00
1644430081,2016-04-20,2436.00,1.77,1.77,0.00,0.00,0.00,1.76,0.01,0.00,0.00,125.00,1315.00,2430.00
1644430081,2016-04-21,1223.00,0.89,0.89,0.00,0.00,0.00,0.88,0.01,0.00,0.00,38.00,1402.00,2140.00
1644430081,2016-04-22,3673.00,2.67,2.67,0.00,0.00,0.00,2.66,0.01,0.00,0.00,86.00,1354.00,2344.00
1644430081,2016-04-23,6637.00,4.83,4.83,0.00,0.00,0.58,4.25,0.00,0.00,15.00,160.00,1265.00,2677.00
1644430081,2016-04-24,3321.00,2.41,2.41,0.00,0.00,0.00,2.41,0.00,0.00,0.00,89.00,1351.00,2413.00
1644430081,2016-04-25,3580.00,2.60,2.60,0.00,0.59,0.06,1.95,0.00,8.00,1.00,94.00,1337.00,2497.00
1644430081,2016-04-26,9919.00,7.21,7.21,0.00,0.80,1.72,4.69,0.00,11.00,41.00,223.00,1165.00,3123.00
1644430081,2016-04-27,3032.00,2.20,2.20,0.00,0.00,0.00,2.20,0.00,0.00,0.00,118.00,1322.00,2489.00
1644430081,2016-04-28,9405.00,6.84,6.84,0.00,0.20,2.32,4.31,0.00,3.00,53.00,227.00,1157.00,3108.00
1644430081,2016-04-29,3176.00,2.31,2.31,0.00,0.00,0.00,2.31,0.00,0.00,0.00,120.00,1193.00,2498.00
1644430081,2016-04-30,18213.00,13.24,13.24,0.00,0.63,3.14,9.46,0.00,9.00,71.00,402.00,816.00,3846.00
1644430081,2016-05-01,6132.00,4.46,4.46,0.00,0.24,0.99,3.23,0.00,3.00,24.00,146.00,908.00,2696.00
1644430081,2016-05-02,3758.00,2.73,2.73,0.00,0.07,0.31,2.35,0.00,1.00,7.00,148.00,682.00,2580.00
1644430081,2016-05-03,12850.00,9.34,9.34,0.00,0.72,4.09,4.54,0.00,10.00,94.00,221.00,1115.00,3324.00
1644430081,2016-05-04,2309.00,1.68,1.68,0.00,0.00,0.00,1.66,0.02,0.00,0.00,52.00,1388.00,2222.00
1644430081,2016-05-05,4363.00,3.19,3.19,0.00,0.52,0.54,2.13,0.01,6.00,12.00,81.00,1341.00,2463.00
1644430081,2016-05-06,9787.00,7.12,7.12,0.00,0.82,0.27,6.01,0.02,11.00,6.00,369.00,1054.00,3328.00
1644430081,2016-05-07,13372.00,9.72,9.72,0.00,3.26,0.79,5.67,0.01,41.00,17.00,243.00,1139.00,3404.00
1644430081,2016-05-08,6724.00,4.89,4.89,0.00,0.00,0.00,4.88,0.00,0.00,0.00,295.00,991.00,2987.00
1644430081,2016-05-09,6643.00,4.83,4.83,0.00,2.39,0.35,2.09,0.01,32.00,6.00,303.00,1099.00,3008.00
1644430081,2016-05-10,9167.00,6.66,6.66,0.00,0.88,0.81,4.97,0.01,12.00,19.00,155.00,1254.00,2799.00
1644430081,2016-05-11,1329.00,0.97,0.97,0.00,0.00,0.00,0.95,0.01,0.00,0.00,49.00,713.00,1276.00
1844505072,2016-04-12,6697.00,4.43,4.43,0.00,0.00,0.00,4.43,0.00,0.00,0.00,339.00,1101.00,2030.00
1844505072,2016-04-13,4929.00,3.26,3.26,0.00,0.00,0.00,3.26,0.00,0.00,0.00,248.00,1192.00,1860.00
1844505072,2016-04-14,7937.00,5.25,5.25,0.00,0.00,0.00,5.23,0.00,0.00,0.00,373.00,843.00,2130.00
1844505072,2016-04-15,3844.00,2.54,2.54,0.00,0.00,0.00,2.54,0.00,0.00,0.00,176.00,527.00,1725.00
1844505072,2016-04-16,3414.00,2.26,2.26,0.00,0.00,0.00,2.26,0.00,0.00,0.00,147.00,1293.00,1657.00
1844505072,2016-04-17,4525.00,2.99,2.99,0.00,0.14,0.26,2.59,0.00,2.00,8.00,199.00,1231.00,1793.00
1844505072,2016-04-18,4597.00,3.04,3.04,0.00,0.00,0.48,2.56,0.00,0.00,12.00,217.00,1211.00,1814.00
1844505072,2016-04-19,197.00,0.13,0.13,0.00,0.00,0.00,0.13,0.00,0.00,0.00,10.00,1430.00,1366.00
1844505072,2016-04-20,8.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,1.00,1439.00,1349.00
1844505072,2016-04-21,8054.00,5.32,5.32,0.00,0.12,0.52,4.68,0.00,2.00,13.00,308.00,1117.00,2062.00
1844505072,2016-04-22,5372.00,3.55,3.55,0.00,0.00,0.00,3.55,0.00,0.00,0.00,220.00,1220.00,1827.00
1844505072,2016-04-23,3570.00,2.36,2.36,0.00,0.00,0.00,2.36,0.00,0.00,0.00,139.00,1301.00,1645.00
1844505072,2016-04-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-04-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-04-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-04-27,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1439.00,1348.00
1844505072,2016-04-28,6907.00,4.57,4.57,0.00,0.00,0.00,4.56,0.00,0.00,0.00,302.00,1138.00,1992.00
1844505072,2016-04-29,4920.00,3.25,3.25,0.00,0.00,0.00,3.25,0.00,0.00,0.00,247.00,1082.00,1856.00
1844505072,2016-04-30,4014.00,2.67,2.67,0.00,0.00,0.00,2.65,0.00,0.00,0.00,184.00,218.00,1763.00
1844505072,2016-05-01,2573.00,1.70,1.70,0.00,0.00,0.26,1.45,0.00,0.00,7.00,75.00,585.00,1541.00
1844505072,2016-05-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1348.00
1844505072,2016-05-03,4059.00,2.68,2.68,0.00,0.00,0.00,2.68,0.00,0.00,0.00,184.00,1256.00,1742.00
1844505072,2016-05-04,2080.00,1.37,1.37,0.00,0.00,0.00,1.37,0.00,0.00,0.00,87.00,1353.00,1549.00
1844505072,2016-05-05,2237.00,1.48,1.48,0.00,0.00,0.00,1.48,0.00,0.00,0.00,120.00,1320.00,1589.00
1844505072,2016-05-06,44.00,0.03,0.03,0.00,0.00,0.00,0.03,0.00,0.00,0.00,2.00,1438.00,1351.00
1844505072,2016-05-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-05-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-05-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-05-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-05-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,1347.00
1844505072,2016-05-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,711.00,665.00
1927972279,2016-04-12,678.00,0.47,0.47,0.00,0.00,0.00,0.47,0.00,0.00,0.00,55.00,734.00,2220.00
1927972279,2016-04-13,356.00,0.25,0.25,0.00,0.00,0.00,0.25,0.00,0.00,0.00,32.00,986.00,2151.00
1927972279,2016-04-14,2163.00,1.50,1.50,0.00,0.00,0.40,1.10,0.00,0.00,9.00,88.00,1292.00,2383.00
1927972279,2016-04-15,980.00,0.68,0.68,0.00,0.00,0.00,0.68,0.00,0.00,0.00,51.00,941.00,2221.00
1927972279,2016-04-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2064.00
1927972279,2016-04-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-04-18,244.00,0.17,0.17,0.00,0.00,0.00,0.17,0.00,0.00,0.00,17.00,1423.00,2111.00
1927972279,2016-04-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-04-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-04-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2064.00
1927972279,2016-04-22,149.00,0.10,0.10,0.00,0.00,0.00,0.10,0.00,0.00,0.00,10.00,1430.00,2093.00
1927972279,2016-04-23,2945.00,2.04,2.04,0.00,0.00,0.00,2.04,0.00,0.00,0.00,145.00,1295.00,2499.00
1927972279,2016-04-24,2090.00,1.45,1.45,0.00,0.07,0.24,1.14,0.00,1.00,6.00,75.00,1358.00,2324.00
1927972279,2016-04-25,152.00,0.11,0.11,0.00,0.00,0.00,0.11,0.00,0.00,0.00,12.00,1303.00,2100.00
1927972279,2016-04-26,3761.00,2.60,2.60,0.00,0.00,0.00,2.60,0.00,0.00,0.00,192.00,1058.00,2638.00
1927972279,2016-04-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-04-28,1675.00,1.16,1.16,0.00,0.00,0.00,1.16,0.00,0.00,0.00,95.00,1167.00,2351.00
1927972279,2016-04-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-04-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2064.00
1927972279,2016-05-01,2704.00,1.87,1.87,0.00,1.01,0.03,0.83,0.00,14.00,1.00,70.00,1355.00,2411.00
1927972279,2016-05-02,3790.00,2.62,2.62,0.00,1.16,0.30,1.16,0.00,16.00,8.00,94.00,1322.00,2505.00
1927972279,2016-05-03,1326.00,0.92,0.92,0.00,0.73,0.00,0.18,0.00,10.00,0.00,17.00,1413.00,2195.00
1927972279,2016-05-04,1786.00,1.24,1.24,0.00,0.00,0.00,1.24,0.00,0.00,0.00,87.00,1353.00,2338.00
1927972279,2016-05-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-05-06,2091.00,1.45,1.45,0.00,0.00,0.00,1.45,0.00,0.00,0.00,108.00,1332.00,2383.00
1927972279,2016-05-07,1510.00,1.04,1.04,0.00,0.00,0.00,1.04,0.00,0.00,0.00,48.00,1392.00,2229.00
1927972279,2016-05-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-05-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-05-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-05-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1440.00,2063.00
1927972279,2016-05-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,966.00,1383.00
2022484408,2016-04-12,11875.00,8.34,8.34,0.00,3.31,0.77,4.26,0.00,42.00,14.00,227.00,1157.00,2390.00
2022484408,2016-04-13,12024.00,8.50,8.50,0.00,2.99,0.10,5.41,0.00,43.00,5.00,292.00,1100.00,2601.00
2022484408,2016-04-14,10690.00,7.50,7.50,0.00,2.48,0.21,4.82,0.00,32.00,3.00,257.00,1148.00,2312.00
2022484408,2016-04-15,11034.00,8.03,8.03,0.00,1.94,0.31,5.78,0.00,27.00,9.00,282.00,1122.00,2525.00
2022484408,2016-04-16,10100.00,7.09,7.09,0.00,3.15,0.55,3.39,0.00,41.00,11.00,151.00,1237.00,2177.00
2022484408,2016-04-17,15112.00,11.40,11.40,0.00,3.87,0.66,6.88,0.00,28.00,29.00,331.00,1052.00,2782.00
2022484408,2016-04-18,14131.00,10.07,10.07,0.00,3.64,0.12,6.30,0.00,48.00,3.00,311.00,1078.00,2770.00
2022484408,2016-04-19,11548.00,8.53,8.53,0.00,3.29,0.24,5.00,0.00,31.00,7.00,250.00,1152.00,2489.00
2022484408,2016-04-20,15112.00,10.67,10.67,0.00,3.34,1.93,5.40,0.00,48.00,63.00,276.00,1053.00,2897.00
2022484408,2016-04-21,12453.00,8.74,8.74,0.00,3.33,1.11,4.31,0.00,104.00,53.00,255.00,1028.00,3158.00
2022484408,2016-04-22,12954.00,9.33,9.33,0.00,4.43,0.42,4.47,0.00,52.00,10.00,273.00,1105.00,2638.00
2022484408,2016-04-23,6001.00,4.21,4.21,0.00,0.00,0.00,4.21,0.00,0.00,0.00,249.00,1191.00,2069.00
2022484408,2016-04-24,13481.00,10.28,10.28,0.00,4.55,1.15,4.58,0.00,37.00,26.00,216.00,1161.00,2529.00
2022484408,2016-04-25,11369.00,8.01,8.01,0.00,3.33,0.22,4.46,0.00,44.00,8.00,217.00,1171.00,2470.00
2022484408,2016-04-26,10119.00,7.19,7.19,0.00,1.43,0.66,5.11,0.00,55.00,24.00,275.00,1086.00,2793.00
2022484408,2016-04-27,10159.00,7.13,7.13,0.00,1.04,0.97,5.12,0.00,19.00,20.00,282.00,1119.00,2463.00
2022484408,2016-04-28,10140.00,7.12,7.12,0.00,0.41,1.33,5.39,0.00,6.00,20.00,291.00,1123.00,2296.00
2022484408,2016-04-29,10245.00,7.19,7.19,0.00,0.48,1.21,5.50,0.00,21.00,40.00,281.00,1098.00,2611.00
2022484408,2016-04-30,18387.00,12.91,12.91,0.00,0.94,1.40,10.57,0.00,13.00,23.00,361.00,1043.00,2732.00
2022484408,2016-05-01,10538.00,7.40,7.40,0.00,1.94,0.96,4.50,0.00,25.00,28.00,245.00,1142.00,2380.00
2022484408,2016-05-02,10379.00,7.29,7.29,0.00,2.61,0.34,4.33,0.00,36.00,8.00,277.00,1119.00,2473.00
2022484408,2016-05-03,12183.00,8.74,8.74,0.00,3.99,0.46,4.28,0.00,72.00,14.00,250.00,1104.00,2752.00
2022484408,2016-05-04,11768.00,8.29,8.29,0.00,2.51,0.93,4.85,0.00,36.00,27.00,272.00,1105.00,2649.00
2022484408,2016-05-05,11895.00,8.35,8.35,0.00,2.79,0.86,4.70,0.00,55.00,20.00,253.00,1112.00,2609.00
2022484408,2016-05-06,10227.00,7.18,7.18,0.00,1.87,0.67,4.64,0.00,24.00,17.00,295.00,1104.00,2498.00
2022484408,2016-05-07,6708.00,4.71,4.71,0.00,1.61,0.08,3.02,0.00,20.00,2.00,149.00,1269.00,1995.00
2022484408,2016-05-08,3292.00,2.31,2.31,0.00,0.00,0.00,2.31,0.00,0.00,0.00,135.00,1305.00,1848.00
2022484408,2016-05-09,13379.00,9.39,9.39,0.00,2.12,1.63,5.64,0.00,35.00,47.00,297.00,1061.00,2709.00
2022484408,2016-05-10,12798.00,8.98,8.98,0.00,2.22,1.21,5.56,0.00,57.00,28.00,271.00,1084.00,2797.00
2022484408,2016-05-11,13272.00,9.32,9.32,0.00,4.18,1.15,3.99,0.00,58.00,25.00,224.00,1133.00,2544.00
2022484408,2016-05-12,9117.00,6.41,6.41,0.00,1.28,0.67,4.44,0.00,16.00,16.00,236.00,728.00,1853.00
2026352035,2016-04-12,4414.00,2.74,2.74,0.00,0.19,0.35,2.20,0.00,3.00,8.00,181.00,706.00,1459.00
2026352035,2016-04-13,4993.00,3.10,3.10,0.00,0.00,0.00,3.10,0.00,0.00,0.00,238.00,663.00,1521.00
2026352035,2016-04-14,3335.00,2.07,2.07,0.00,0.00,0.00,2.05,0.00,0.00,0.00,197.00,653.00,1431.00
2026352035,2016-04-15,3821.00,2.37,2.37,0.00,0.00,0.00,2.37,0.00,0.00,0.00,188.00,687.00,1444.00
2026352035,2016-04-16,2547.00,1.58,1.58,0.00,0.00,0.00,1.58,0.00,0.00,0.00,150.00,728.00,1373.00
2026352035,2016-04-17,838.00,0.52,0.52,0.00,0.00,0.00,0.52,0.00,0.00,0.00,60.00,1053.00,1214.00
2026352035,2016-04-18,3325.00,2.06,2.06,0.00,0.00,0.00,2.06,0.00,0.00,0.00,182.00,1062.00,1419.00
2026352035,2016-04-19,2424.00,1.50,1.50,0.00,0.00,0.00,1.50,0.00,0.00,0.00,141.00,785.00,1356.00
2026352035,2016-04-20,7222.00,4.48,4.48,0.00,0.00,0.00,4.48,0.00,0.00,0.00,327.00,623.00,1667.00
2026352035,2016-04-21,2467.00,1.53,1.53,0.00,0.00,0.00,1.53,0.00,0.00,0.00,153.00,749.00,1370.00
2026352035,2016-04-22,2915.00,1.81,1.81,0.00,0.00,0.00,1.81,0.00,0.00,0.00,162.00,712.00,1399.00
2026352035,2016-04-23,12357.00,7.71,7.71,0.00,0.00,0.00,7.71,0.00,0.00,0.00,432.00,458.00,1916.00
2026352035,2016-04-24,3490.00,2.16,2.16,0.00,0.00,0.00,2.16,0.00,0.00,0.00,164.00,704.00,1401.00
2026352035,2016-04-25,6017.00,3.73,3.73,0.00,0.00,0.00,3.73,0.00,0.00,0.00,260.00,821.00,1576.00
2026352035,2016-04-26,5933.00,3.68,3.68,0.00,0.00,0.00,3.68,0.00,0.00,0.00,288.00,1018.00,1595.00
2026352035,2016-04-27,6088.00,3.77,3.77,0.00,0.00,0.00,3.77,0.00,0.00,0.00,286.00,586.00,1593.00
2026352035,2016-04-28,6375.00,3.95,3.95,0.00,0.00,0.00,3.95,0.00,0.00,0.00,331.00,626.00,1649.00
2026352035,2016-04-29,7604.00,4.71,4.71,0.00,0.00,0.00,4.71,0.00,0.00,0.00,352.00,492.00,1692.00
2026352035,2016-04-30,4729.00,2.93,2.93,0.00,0.00,0.00,2.93,0.00,0.00,0.00,233.00,594.00,1506.00
2026352035,2016-05-01,3609.00,2.28,2.28,0.00,0.00,0.00,2.28,0.00,0.00,0.00,191.00,716.00,1447.00
2026352035,2016-05-02,7018.00,4.35,4.35,0.00,0.00,0.00,4.35,0.00,0.00,0.00,355.00,716.00,1690.00
